image_path,description,game_id
image/20251218_161414#1041210#1.jpg,"Mission: It's Complicated is a narrative-driven, casual adventure game presented as a visual novel where players guide superheroes through romantic and platonic relationships to save the world. This indie title focuses on matchmaking five unique heroes for missions during the night and dates during the day, requiring players to foster bonds, choose dialogue options, and manage hero well-being to prevent injuries that could impact their social lives. The game features a substantial amount of text, over 100,000 words, with a strong emphasis on heart and humor, offering multiple happy endings for all pairings, including the possibility of an ""ultimate"" happy ending. Players can choose any hero to pair with any other, with the compatibility between a matched pair influencing their likelihood of falling in love and successfully completing their world-saving objectives. The experience is visually characterized by cute art and includes the option to skip previously completed missions to focus on relationship progression.",1041210
image/20251218_161414#1041210#2.jpg,"Mission: It's Complicated is a narrative-driven, casual adventure game presented as a visual novel where players guide superheroes through romantic and platonic relationships to save the world. This indie title focuses on matchmaking five unique heroes for missions during the night and dates during the day, requiring players to foster bonds, choose dialogue options, and manage hero well-being to prevent injuries that could impact their social lives. The game features a substantial amount of text, over 100,000 words, with a strong emphasis on heart and humor, offering multiple happy endings for all pairings, including the possibility of an ""ultimate"" happy ending. Players can choose any hero to pair with any other, with the compatibility between a matched pair influencing their likelihood of falling in love and successfully completing their world-saving objectives. The experience is visually characterized by cute art and includes the option to skip previously completed missions to focus on relationship progression.",1041210
image/20251218_161414#1041210#3.jpg,"Mission: It's Complicated is a narrative-driven, casual adventure game presented as a visual novel where players guide superheroes through romantic and platonic relationships to save the world. This indie title focuses on matchmaking five unique heroes for missions during the night and dates during the day, requiring players to foster bonds, choose dialogue options, and manage hero well-being to prevent injuries that could impact their social lives. The game features a substantial amount of text, over 100,000 words, with a strong emphasis on heart and humor, offering multiple happy endings for all pairings, including the possibility of an ""ultimate"" happy ending. Players can choose any hero to pair with any other, with the compatibility between a matched pair influencing their likelihood of falling in love and successfully completing their world-saving objectives. The experience is visually characterized by cute art and includes the option to skip previously completed missions to focus on relationship progression.",1041210
image/20251218_161414#1041210#4.jpg,"Mission: It's Complicated is a narrative-driven, casual adventure game presented as a visual novel where players guide superheroes through romantic and platonic relationships to save the world. This indie title focuses on matchmaking five unique heroes for missions during the night and dates during the day, requiring players to foster bonds, choose dialogue options, and manage hero well-being to prevent injuries that could impact their social lives. The game features a substantial amount of text, over 100,000 words, with a strong emphasis on heart and humor, offering multiple happy endings for all pairings, including the possibility of an ""ultimate"" happy ending. Players can choose any hero to pair with any other, with the compatibility between a matched pair influencing their likelihood of falling in love and successfully completing their world-saving objectives. The experience is visually characterized by cute art and includes the option to skip previously completed missions to focus on relationship progression.",1041210
image/20251218_161414#1041210#5.jpg,"Mission: It's Complicated is a narrative-driven, casual adventure game presented as a visual novel where players guide superheroes through romantic and platonic relationships to save the world. This indie title focuses on matchmaking five unique heroes for missions during the night and dates during the day, requiring players to foster bonds, choose dialogue options, and manage hero well-being to prevent injuries that could impact their social lives. The game features a substantial amount of text, over 100,000 words, with a strong emphasis on heart and humor, offering multiple happy endings for all pairings, including the possibility of an ""ultimate"" happy ending. Players can choose any hero to pair with any other, with the compatibility between a matched pair influencing their likelihood of falling in love and successfully completing their world-saving objectives. The experience is visually characterized by cute art and includes the option to skip previously completed missions to focus on relationship progression.",1041210
image/20251218_161414#10500#1.jpg,"Total War: EMPIRE – Definitive Edition is a strategy game set in the Age of Enlightenment, focusing on global conquest, nation-building, and military advancement. The game introduces true 3D naval combat, allowing players to command single ships or fleets with dynamic water and weather effects, and offers the ability to board enemy vessels for hand-to-hand combat. Enhancements to signature 3D real-time battles incorporate cannon and musket warfare, requiring mastery of new formations and tactics. The turn-based campaign map features expanded scope, trade, diplomacy, espionage systems, and interaction with agents. The Definitive Edition includes all downloadable content and updates, such as the Warpath Campaign, which adds 5 new Native American factions, a detailed North American map, new units, and technologies. Additional content includes Elite Units from the East, West, and America, totaling over 50 new elite units, along with Special Forces units, offering hundreds of hours of gameplay.",10500
image/20251218_161414#10500#2.jpg,"Total War: EMPIRE – Definitive Edition is a strategy game set in the Age of Enlightenment, focusing on global conquest, nation-building, and military advancement. The game introduces true 3D naval combat, allowing players to command single ships or fleets with dynamic water and weather effects, and offers the ability to board enemy vessels for hand-to-hand combat. Enhancements to signature 3D real-time battles incorporate cannon and musket warfare, requiring mastery of new formations and tactics. The turn-based campaign map features expanded scope, trade, diplomacy, espionage systems, and interaction with agents. The Definitive Edition includes all downloadable content and updates, such as the Warpath Campaign, which adds 5 new Native American factions, a detailed North American map, new units, and technologies. Additional content includes Elite Units from the East, West, and America, totaling over 50 new elite units, along with Special Forces units, offering hundreds of hours of gameplay.",10500
image/20251218_161414#10500#3.jpg,"Total War: EMPIRE – Definitive Edition is a strategy game set in the Age of Enlightenment, focusing on global conquest, nation-building, and military advancement. The game introduces true 3D naval combat, allowing players to command single ships or fleets with dynamic water and weather effects, and offers the ability to board enemy vessels for hand-to-hand combat. Enhancements to signature 3D real-time battles incorporate cannon and musket warfare, requiring mastery of new formations and tactics. The turn-based campaign map features expanded scope, trade, diplomacy, espionage systems, and interaction with agents. The Definitive Edition includes all downloadable content and updates, such as the Warpath Campaign, which adds 5 new Native American factions, a detailed North American map, new units, and technologies. Additional content includes Elite Units from the East, West, and America, totaling over 50 new elite units, along with Special Forces units, offering hundreds of hours of gameplay.",10500
image/20251218_161414#10500#4.jpg,"Total War: EMPIRE – Definitive Edition is a strategy game set in the Age of Enlightenment, focusing on global conquest, nation-building, and military advancement. The game introduces true 3D naval combat, allowing players to command single ships or fleets with dynamic water and weather effects, and offers the ability to board enemy vessels for hand-to-hand combat. Enhancements to signature 3D real-time battles incorporate cannon and musket warfare, requiring mastery of new formations and tactics. The turn-based campaign map features expanded scope, trade, diplomacy, espionage systems, and interaction with agents. The Definitive Edition includes all downloadable content and updates, such as the Warpath Campaign, which adds 5 new Native American factions, a detailed North American map, new units, and technologies. Additional content includes Elite Units from the East, West, and America, totaling over 50 new elite units, along with Special Forces units, offering hundreds of hours of gameplay.",10500
image/20251218_161414#10500#5.jpg,"Total War: EMPIRE – Definitive Edition is a strategy game set in the Age of Enlightenment, focusing on global conquest, nation-building, and military advancement. The game introduces true 3D naval combat, allowing players to command single ships or fleets with dynamic water and weather effects, and offers the ability to board enemy vessels for hand-to-hand combat. Enhancements to signature 3D real-time battles incorporate cannon and musket warfare, requiring mastery of new formations and tactics. The turn-based campaign map features expanded scope, trade, diplomacy, espionage systems, and interaction with agents. The Definitive Edition includes all downloadable content and updates, such as the Warpath Campaign, which adds 5 new Native American factions, a detailed North American map, new units, and technologies. Additional content includes Elite Units from the East, West, and America, totaling over 50 new elite units, along with Special Forces units, offering hundreds of hours of gameplay.",10500
